RANKING,TEAM,GOLD,SILVER,BRONZE,TOTAL
1,"
United States",40,44,42,126
2,"
China",40,27,24,91
3,"
Japan",20,12,13,45
4,"
Australia",18,19,16,53
5,"
France",16,26,22,64
6,"
Netherlands",15,7,12,34
7,"
Great Britain",14,22,29,65
8,"
South Korea",13,9,10,32
9,"
Italy",12,13,15,40
10,"
Germany",12,13,8,33
11,"
New Zealand",10,7,3,20
12,"
Canada",9,7,11,27
13,"
Uzbekistan",8,2,3,13
14,"
Hungary",6,7,6,19
15,"
Spain",5,4,9,18
16,"
Sweden",4,4,3,11
17,"
Kenya",4,2,5,11
18,"
Norway",4,1,3,8
19,"
Ireland",4,0,3,7
20,"
Brazil",3,7,10,20
21,"
Iran",3,6,3,12
22,"
Ukraine",3,5,4,12
23,"
Romania",3,4,2,9
24,"
Georgia",3,3,1,7
25,"
Belgium",3,1,6,10
26,"
Bulgaria",3,1,3,7
27,"
Serbia",3,1,1,5
28,"
Czechia",3,0,2,5
29,"
Denmark",2,2,5,9
30,"
Azerbaijan",2,2,3,7
30,"
Croatia",2,2,3,7
32,"
Cuba",2,1,6,9
33,"
Bahrain",2,1,1,4
34,"
Slovenia",2,1,0,3
35,"
Chinese Taipei",2,0,5,7
36,"
Austria",2,0,3,5
37,"
Hong Kong, China",2,0,2,4
37,"
Philippines",2,0,2,4
39,"
Algeria",2,0,1,3
39,"
Indonesia",2,0,1,3
41,"
Israel",1,5,1,7
42,"
Poland",1,4,5,10
43,"
Kazakhstan",1,3,3,7
44,"
Jamaica",1,3,2,6
44,"
South Africa",1,3,2,6
44,"
Thailand",1,3,2,6
47,"
Ethiopia",1,3,0,4
48,"
Switzerland",1,2,5,8
49,"
Ecuador",1,2,2,5
50,"
Portugal",1,2,1,4
51,"
Greece",1,1,6,8
52,"
Argentina",1,1,1,3
52,"
Egypt",1,1,1,3
52,"
Tunisia",1,1,1,3
55,"
Botswana",1,1,0,2
55,"
Chile",1,1,0,2
55,"
Saint Lucia",1,1,0,2
55,"
Uganda",1,1,0,2
59,"
Dominican Republic",1,0,2,3
60,"
Guatemala",1,0,1,2
60,"
Morocco",1,0,1,2
62,"
Dominica",1,0,0,1
62,"
Pakistan",1,0,0,1
64,"
Türkiye",0,3,5,8
65,"
Mexico",0,3,2,5
66,"
Armenia",0,3,1,4
66,"
Colombia",0,3,1,4
68,"
Kyrgyzstan",0,2,4,6
68,"
North Korea",0,2,4,6
70,"
Lithuania",0,2,2,4
71,"
India",0,1,5,6
72,"
Republic of Moldova",0,1,3,4
73,"
Kosovo",0,1,1,2
74,"
Cyprus",0,1,0,1
74,"
Fiji",0,1,0,1
74,"
Jordan",0,1,0,1
74,"
Mongolia",0,1,0,1
74,"
Panama",0,1,0,1
79,"
Tajikistan",0,0,3,3
80,"
Albania",0,0,2,2
80,"
Grenada",0,0,2,2
80,"
Malaysia",0,0,2,2
80,"
Puerto Rico",0,0,2,2
84,"
Côte d'Ivoire",0,0,1,1
84,"
Cape Verde",0,0,1,1
84,"
Refugee Olympic Team",0,0,1,1
84,"
Peru",0,0,1,1
84,"
Qatar",0,0,1,1
84,"
Singapore",0,0,1,1
84,"
Slovakia",0,0,1,1
84,"
Zambia",0,0,1,1
